id,allergen,group,group_id,aliases,notes
0,Almond,nuts and seeds,1,,
1,Brazil nut,nuts and seeds,1,,
2,Cashew,nuts and seeds,1,,
3,Chestnut,nuts and seeds,1,,
4,Cocoa,nuts and seeds,1,,made from the seed of the cacao tree
5,Coconut,nuts and seeds,1,,botanically a fruit
6,Cotton seed,nuts and seeds,1,,
7,Flax seed,nuts and seeds,1,linseed,
8,Hazelnut,nuts and seeds,1,,
9,Mustard,nuts and seeds,1,,botanically a seed
10,Peanut,cereals, grains and legumes,2,ground nuts; monkey nuts,botanically a legume
11,Pecan,nuts and seeds,1,,
12,Pine nut,nuts and seeds,1,,
13,Poppy seed,nuts and seeds,1,,botanically a seed
14,Sesame,nuts and seeds,1,,botanically a seed
15,Sunflower seed,other,7,,botanically a fruit
16,Walnut,other,7,,

17,Barley,cereals, grains and legumes,2,,
18,Buckwheat,cereals, grains and legumes,2,,
19,Maize,cereals, grains and legumes,2,corn,botanically a grain
20,Oat,cereals, grains and legumes,2,,
21,Rice,cereals, grains and legumes,2,,
22,Rye,cereals, grains and legumes,2,,
23,Wheat,cereals, grains and legumes,2,breadmaking wheat; pasta wheat; Kamut; spelt,

24,Castor bean,cereals, grains and legumes,2,,
25,Chickpea,cereals, grains and legumes,2,garbanzo; bengal gram,
26,Lentil,cereals, grains and legumes,2,,
27,Lupin,cereals, grains and legumes,2,lupine,
28,Soybean,cereals, grains and legumes,2,soya,

29,Acerola,fruits (tropical & soft),4,Barbados cherry,
30,Apple,fruits (tree & vine),3,,
31,Apricot,fruits (tree & vine),3,,
32,Avocado,vegetables and herbs,5,,botanically a fruit
33,Banana,fruits (tropical & soft),4,,
34,Bell pepper,vegetables and herbs,5,,botanically a fruit
35,Cherry,fruits (tree & vine),3,,
36,Courgette,vegetables and herbs,5,zucchini,botanically a fruit
37,Date,fruits (tropical & soft),4,,
38,Fig,fruits (tree & vine),3,,
39,Grape,fruits (tree & vine),3,,
40,Kiwi fruit,fruits (tree & vine),3,Chinese gooseberry,
41,Lychee,fruits (tropical & soft),4,,
42,Mango,fruits (tropical & soft),4,,
43,Melon,fruits (tropical & soft),4,,
44,Peach,fruits (tree & vine),3,,
45,Pear,fruits (tree & vine),3,,
46,Persimmon,fruits (tropical & soft),4,,
47,Pineapple,fruits (tropical & soft),4,,
48,Plum,fruits (tree & vine),3,garden plum,
49,Pomegranate,fruits (tree & vine),3,,
50,Pumpkin,vegetables and herbs,5,,botanically a fruit
51,Strawberry,fruits (tropical & soft),4,,
52,Tomato,vegetables and herbs,5,,botanically a fruit

53,Cabbage,vegetables and herbs,5,,
54,Carrot,vegetables and herbs,5,,
55,Celery,vegetables and herbs,5,celeriac,
56,Garlic,vegetables and herbs,5,,
57,Lettuce,vegetables and herbs,5,,
58,Potato,vegetables and herbs,5,,
59,Turnip,vegetables and herbs,5,,
60,Aniseed,vegetables and herbs,5,,
61,Camomile,vegetables and herbs,5,,

62,Abalone,animals,6,perlemoen,
63,Crab,animals,6,,
64,Lobster,animals,6,,
65,Oyster,animals,6,,
66,Shrimp,animals,6,black tiger shrimp; brown shrimp; greasyback shrimp; Indian prawn; Neptune rose shrimp; white shrimp,
67,Snail,animals,6,,
68,Squid,animals,6,,
69,Alaska pollock,animals,6,,
70,Carp,animals,6,,
71,Cod,animals,6,,
72,Frog,animals,6,edible,
73,Mackerel,animals,6,,
74,Salmon,animals,6,,
75,Tuna,animals,6,,
76,Egg,other,7,hen's egg,
77,Milk,other,7,cow's milk,
